selected_stock,leg_stock,pvalue
DFS,JCI,1.03E-15
JCI,PH,3.34E-15
JCI,UNP,3.68E-15
AJG,JCI,7.65E-15
JCI,TDY,8.87E-15
JCI,UPS,1.07E-14
ECL,JCI,1.21E-14
D,JCI,2.57E-14
JCI,PKG,5.98E-14
JCI,RTX,7.13E-14
CL,JCI,7.61E-14
ANSS,JCI,1.57E-13
JCI,LIN,2.86E-13
JCI,PG,2.97E-13
JCI,PPG,3.24E-13
JCI,ROK,4.28E-13
EMN,JCI,4.40E-13
JBHT,JCI,4.74E-13
BKNG,JCI,4.99E-13
JCI,SRE,6.15E-13
JCI,ODFL,7.64E-13
JCI,LKQ,1.14E-12
COO,JCI,1.26E-12
IT,JCI,1.37E-12
EOG,JCI,1.43E-12
JCI,SBAC,1.56E-12
HSY,JCI,2.23E-12
JCI,PARA,2.41E-12
AME,JCI,8.87E-12
JCI,NSC,9.62E-12
DOV,JCI,1.12E-11
JCI,OMC,1.33E-11
APH,JCI,1.58E-11
JCI,ROP,2.85E-11
DUK,JCI,3.01E-11
JCI,RJF,3.07E-11
JCI,TJX,3.08E-11
JCI,TROW,3.41E-11
JCI,WAB,3.72E-11
AMT,JCI,3.81E-11
GL,JCI,5.22E-11
JCI,MA,5.43E-11
JCI,PNR,8.09E-11
JCI,ORCL,9.27E-11
JCI,JNJ,9.60E-11
CB,JCI,1.05E-10
JCI,YUM,1.15E-10
HON,JCI,2.03E-10
JCI,KO,2.07E-10
CCI,JCI,2.89E-10
JCI,PTC,3.19E-10
JCI,TEL,3.39E-10
CMCSA,JCI,3.56E-10
JCI,VZ,3.67E-10
JCI,TT,3.83E-10
JCI,WELL,3.95E-10
IP,JCI,4.31E-10
JCI,PXD,4.91E-10
JCI,USB,6.07E-10
BIIB,JCI,6.22E-10
JCI,WEC,6.32E-10
ETN,JCI,7.18E-10
BF-B,JCI,8.70E-10
DVA,JCI,1.23E-09
JCI,MMM,1.30E-09
JCI,PFE,1.46E-09
DTE,JCI,1.67E-09
JCI,TRV,1.80E-09
JCI,URI,2.17E-09
JCI,MTB,3.26E-09
CSX,JCI,4.30E-09
JCI,PODD,4.83E-09
JCI,MRK,6.61E-09
ES,JCI,7.21E-09
JCI,VFC,7.67E-09
CNP,JCI,8.60E-09
JCI,MTD,9.41E-09
CMI,JCI,1.00E-08
EL,JCI,1.11E-08
JCI,SPG,1.11E-08
CRM,JCI,1.13E-08
JCI,MMC,1.20E-08
JCI,KMB,1.23E-08
BRK-B,JCI,1.45E-08
JCI,PKI,1.45E-08
JCI,SHW,1.45E-08
BLK,JCI,1.47E-08
JCI,TDG,1.58E-08
IFF,JCI,1.65E-08
COST,JCI,1.93E-08
JCI,PEP,2.06E-08
A,JCI,2.18E-08
JCI,RMD,2.19E-08
JCI,SJM,2.28E-08
INTU,JCI,2.29E-08
ACGL,JCI,2.56E-08
JCI,NEE,2.83E-08
GIS,JCI,2.89E-08
AON,JCI,2.92E-08
JCI,MCK,3.27E-08
FIS,JCI,3.87E-08
JCI,TECH,3.90E-08
JCI,KMX,4.23E-08
GWW,JCI,4.31E-08
CPRT,JCI,4.38E-08
JCI,MCHP,5.26E-08
JCI,TMO,5.87E-08
AMP,JCI,5.91E-08
JCI,WMT,7.80E-08
