case,hyperparameters,count_stat_significant_portfolios,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis
baseline,"(20, 200, 2, 0.3, -2, -0.3)",1,323.2,0.532454695,168.05,0.521922475,0.000971636,0.019346487,-0.087400458,0.000754501,0.095701885,0.290495306,6.20470325
baseline,"(80, 50, 2, 0, -2, 0)",1,430.6875,0.474848401,223.075,0.518898525,0.001143478,0.020358071,-0.096184371,0.000687657,0.128023912,0.650884838,9.000680723
baseline,"(80, 50, 2, 0.2, -2, -0.2)",1,398.875,0.43977398,206.3375,0.518275689,0.001129125,0.020484267,-0.095652005,0.000656855,0.126279168,0.651358091,9.06841796
baseline,"(80, 50, 2, 0.4, -2, -0.4)",1,361.425,0.398484013,186.85,0.518215646,0.001158201,0.020569564,-0.093815327,0.000625321,0.123416153,0.636334971,8.830391128
baseline,"(90, 50, 2, 0, -2, 0)",1,429.4222222,0.473453387,222.1555556,0.518347077,0.001119989,0.020303703,-0.094481855,0.000657836,0.127031234,0.659319261,8.786103028
baseline,"(90, 50, 2, 0.1, -2, -0.1)",1,414.5333333,0.457037854,214.3555556,0.51814121,0.001110997,0.020348836,-0.094419615,0.00062749,0.12548035,0.648366586,8.698151412
baseline,"(90, 50, 2, 0.2, -2, -0.2)",1,396.7444444,0.437424966,205.2555556,0.518431718,0.001122607,0.020430732,-0.093685541,0.000653674,0.12548035,0.665165253,8.869975554
baseline,"(90, 50, 2, 0.3, -2, -0.3)",1,378.0444444,0.416807546,195.5444444,0.518496245,0.001153611,0.020479948,-0.093463438,0.000637641,0.124250634,0.665149786,8.940612844
baseline,"(90, 50, 2, 0.4, -2, -0.4)",2,359.6555556,0.396533137,185.9777778,0.518445156,0.001169388,0.020464995,-0.09190708,0.000630011,0.122906514,0.665555638,8.780545407
baseline,"(90, 50, 2, 0.5, -2, -0.5)",1,339.7666667,0.374604925,176.1222222,0.519873996,0.001196877,0.020503844,-0.090061705,0.000687238,0.120548795,0.678828442,8.741193502
baseline,"(100, 50, 2, 0, -2, 0)",2,429.28,0.473296582,222.33,0.51885565,0.001129123,0.020283969,-0.09424602,0.000684091,0.125217635,0.622728775,8.532684182
baseline,"(100, 50, 2, 0.1, -2, -0.1)",2,414.27,0.456747519,214.44,0.51859883,0.001118779,0.020338101,-0.094190005,0.000653304,0.12382184,0.613830698,8.454264771
baseline,"(100, 50, 2, 0.2, -2, -0.2)",2,395.53,0.436085998,204.83,0.518922225,0.001144332,0.020415286,-0.093402334,0.000683491,0.12382184,0.633489195,8.598237264
baseline,"(100, 50, 2, 0.3, -2, -0.3)",2,377.32,0.41600882,195.31,0.518794296,0.00117117,0.020462928,-0.09319148,0.000668318,0.122715095,0.634484556,8.664739598
baseline,"(100, 50, 2, 0.4, -2, -0.4)",2,358.5,0.395259096,185.52,0.518767979,0.001178586,0.020451762,-0.091790758,0.000659022,0.120983143,0.621600767,8.478578911
baseline,"(100, 50, 2, 0.5, -2, -0.5)",2,338.32,0.373009923,175.55,0.520298449,0.001205528,0.020496162,-0.090049736,0.000720141,0.118861196,0.633560292,8.44104484
baseline,"(110, 50, 2, 0, -2, 0)",2,428.6636364,0.472617019,222.0727273,0.519043424,0.001127271,0.020361562,-0.095841599,0.000680903,0.124884942,0.605635127,8.49200137
baseline,"(110, 50, 2, 0.1, -2, -0.1)",2,413.7272727,0.456149143,214.2090909,0.51878892,0.001114448,0.020428176,-0.095790676,0.000651227,0.123616037,0.597391724,8.413089774
baseline,"(110, 50, 2, 0.2, -2, -0.2)",2,395.3,0.435832415,204.7181818,0.518997861,0.001138999,0.020492767,-0.095074612,0.000676972,0.123616037,0.614390235,8.56513075
baseline,"(110, 50, 2, 0.3, -2, -0.3)",2,376.9272727,0.415575824,195.2090909,0.519065928,0.001175446,0.020549919,-0.094244089,0.000671674,0.122609906,0.621329492,8.611840801
baseline,"(110, 50, 2, 0.4, -2, -0.4)",2,358.3454545,0.395088704,185.4727273,0.518801958,0.001167768,0.020527053,-0.092970705,0.000653428,0.121021628,0.603063996,8.440242758
baseline,"(110, 50, 2, 0.5, -2, -0.5)",2,338.1909091,0.372867595,175.4272727,0.520076344,0.001183929,0.020553754,-0.091387958,0.000701874,0.118795709,0.604712651,8.405377605
baseline,"(120, 50, 2, 0, -2, 0)",2,431.275,0.475496141,223.325,0.518839104,0.001139675,0.020341356,-0.095173177,0.000681022,0.125261602,0.625479353,8.515121946
baseline,"(120, 50, 2, 0.1, -2, -0.1)",2,416.075,0.458737596,215.2,0.51826688,0.001124239,0.020409565,-0.095126498,0.000643525,0.124042504,0.617895366,8.441150441
baseline,"(120, 50, 2, 0.2, -2, -0.2)",2,397.4416667,0.438193679,205.6416667,0.518525399,0.001148137,0.020481362,-0.094419132,0.000667797,0.124042504,0.634687303,8.588635717
baseline,"(120, 50, 2, 0.3, -2, -0.3)",2,379.1333333,0.418008085,196.2916667,0.518898615,0.001188802,0.020547865,-0.09365782,0.000667476,0.123120218,0.640940388,8.626593911
baseline,"(120, 50, 2, 0.4, -2, -0.4)",2,360.2083333,0.397142595,186.425,0.518691969,0.001183738,0.020536233,-0.092490551,0.000656012,0.121664296,0.624448989,8.474267293
baseline,"(120, 50, 2, 0.5, -2, -0.5)",2,339.2083333,0.373989342,175.9833333,0.520079092,0.001208605,0.020577398,-0.0910397,0.000709166,0.119609758,0.624079059,8.426826454
