case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis,t_statistic,p_value
cluster_0,"(10, 50, 2, 0, -2, 0)",446.9,0.492723264,234.4,0.525807559,0.001287913,0.020528974,-0.098078614,0.000840745,0.11244812,0.299062052,6.777152646,-3.0848879,0.006481518
cluster_0,"(10, 50, 2, 0.1, -2, -0.1)",427.9,0.471775083,223.8,0.524592915,0.00123387,0.020624596,-0.098078614,0.000809986,0.111776904,0.297153776,6.864749766,-2.690964512,0.015567946
cluster_0,"(10, 50, 2, 0.2, -2, -0.2)",407.9,0.449724366,213.0,0.523871681,0.001205435,0.020679946,-0.098078614,0.000770841,0.111776904,0.313654227,7.066710003,-2.88218677,0.01001674
cluster_0,"(10, 50, 2, 0.3, -2, -0.3)",389.7,0.429658214,204.3,0.526429358,0.001285538,0.020737236,-0.096782525,0.000789653,0.111776904,0.337596872,7.057816939,-2.393462452,0.028018492
cluster_0,"(50, 150, 2, 0.4, -2, -0.4)",303.34,0.429052334,153.64,0.509139893,0.001032521,0.024048043,-0.122597145,0.000333179,0.137032704,0.435495491,10.06067884,-2.132468796,0.035992049
cluster_0,"(50, 150, 2, 0.5, -2, -0.5)",287.4,0.406506365,145.48,0.50885899,0.0010493,0.024312085,-0.121964301,0.000343197,0.137032704,0.446226766,10.10475731,-2.199633641,0.030741991
cluster_0,"(70, 150, 2, 0.4, -2, -0.4)",308.1428571,0.435845625,155.6,0.507602148,0.000921679,0.023852282,-0.118209616,0.000274183,0.138331264,0.497998097,9.976717387,-2.036575215,0.043766848
cluster_0,"(100, 150, 2, 0.4, -2, -0.4)",305.9,0.432673267,154.37,0.507880178,0.000951093,0.023968304,-0.119980935,0.0003089,0.136711749,0.433333621,9.827475184,-2.142697917,0.033481393
cluster_0,"(100, 150, 2, 0.5, -2, -0.5)",292.65,0.413932107,147.57,0.507558692,0.000964292,0.024158425,-0.11961417,0.000306455,0.136711749,0.44806002,9.87466333,-2.013372149,0.04560071
cluster_0,"(110, 150, 2, 0.4, -2, -0.4)",306.3,0.433239038,154.7454545,0.508273942,0.000948983,0.023684523,-0.117806323,0.000328177,0.133622099,0.438429659,10.114947,-2.100703425,0.036919653
cluster_0,"(120, 150, 2, 0, -2, 0)",363.125,0.513613861,183.0666667,0.507143253,0.000821145,0.023301671,-0.121743018,0.00028708,0.132639108,0.368747933,9.720649391,-2.00888091,0.045847679
cluster_0,"(120, 150, 2, 0.4, -2, -0.4)",303.95,0.429915134,153.8,0.509143777,0.00096883,0.02368723,-0.117656933,0.000358534,0.132130204,0.429522279,9.806954564,-2.293413042,0.022778495
cluster_0,"(120, 150, 2, 0.5, -2, -0.5)",290.6416667,0.411091466,146.9416667,0.508790994,0.00098479,0.023866634,-0.117309711,0.000350354,0.132130204,0.444659122,9.856933937,-2.12488561,0.034735836
