case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis
baseline,"(5, 50, 2, 0, -2, 0)",451.8,0.498125689,237.2,0.525243616,0.000840061,0.019226282,-0.100458289,0.000668009,0.117766248,0.287440771,7.115140001
baseline,"(5, 50, 2, 0.1, -2, -0.1)",436.4,0.481146637,231,0.5295405,0.000914803,0.019335679,-0.100458289,0.000768666,0.117766248,0.265600885,7.120960794
baseline,"(5, 50, 2, 0.2, -2, -0.2)",419,0.461962514,220.6,0.526704138,0.000826354,0.019497561,-0.100458289,0.000743157,0.117766248,0.256905613,6.99316588
baseline,"(5, 50, 2, 0.3, -2, -0.3)",402.6,0.443880926,211.6,0.525756333,0.000852251,0.019457131,-0.100458289,0.000676377,0.117766248,0.259961245,7.201176355
baseline,"(5, 50, 2, 0.4, -2, -0.4)",377.6,0.41631753,199.4,0.527803874,0.000885595,0.019495007,-0.103962993,0.000746686,0.117766248,0.209918601,7.577863255
baseline,"(5, 50, 2, 0.5, -2, -0.5)",356.8,0.393384785,188.2,0.527356354,0.000829591,0.019382231,-0.103962993,0.000853396,0.117766248,0.181700833,7.989356034
baseline,"(5, 150, 2, 0, -2, 0)",396.6,0.56096181,207,0.522540694,0.000763262,0.020418443,-0.106928243,0.00053203,0.112567032,0.136708683,5.92880202
baseline,"(5, 150, 2, 0.1, -2, -0.1)",379.8,0.537199434,197.6,0.520586443,0.000741176,0.0206064,-0.106928243,0.000479313,0.112567032,0.145718634,5.873021495
baseline,"(5, 150, 2, 0.2, -2, -0.2)",367.8,0.520226308,191.8,0.521073317,0.000750377,0.020678428,-0.106928243,0.000501548,0.112567032,0.149366958,5.901529508
baseline,"(5, 150, 2, 0.3, -2, -0.3)",349.4,0.494200849,181.6,0.519389551,0.000685338,0.02067729,-0.106928243,0.000517194,0.10913844,0.097732238,5.712495804
baseline,"(5, 150, 2, 0.4, -2, -0.4)",339.8,0.480622348,176.4,0.51867184,0.000681022,0.020781427,-0.106928243,0.000514827,0.10913844,0.110001815,5.669310304
baseline,"(5, 150, 2, 0.5, -2, -0.5)",333,0.471004243,172.4,0.517181672,0.00061469,0.020706634,-0.106928243,0.00043278,0.10913844,0.114400642,5.82150258
baseline,"(5, 200, 2, 0, -2, 0)",366.4,0.603624382,189,0.515817709,0.000960172,0.019740281,-0.090012588,0.000405591,0.104332898,0.343648664,5.129906558
baseline,"(5, 200, 2, 0.1, -2, -0.1)",349.2,0.575288303,181.4,0.520569398,0.001185982,0.02008352,-0.088951184,0.000584021,0.104332898,0.345672006,4.9838117
baseline,"(5, 200, 2, 0.2, -2, -0.2)",342.2,0.563756178,178.4,0.521744421,0.001132378,0.019975531,-0.088951184,0.000593228,0.100352923,0.279823289,4.758377935
baseline,"(5, 200, 2, 0.3, -2, -0.3)",329.4,0.542668863,171.8,0.521861828,0.001082111,0.019984349,-0.088951184,0.000659416,0.100352923,0.255381191,4.828546727
baseline,"(5, 200, 2, 0.4, -2, -0.4)",320.8,0.528500824,167,0.520651343,0.000982917,0.019982223,-0.088951184,0.000575418,0.100352923,0.222585146,4.737862681
baseline,"(5, 200, 2, 0.5, -2, -0.5)",296.8,0.488962109,155.8,0.523822416,0.001122778,0.020025426,-0.088226791,0.000794342,0.100352923,0.212407765,5.004115935
baseline,"(10, 50, 2, 0, -2, 0)",446.5,0.492282249,229.2,0.51353655,0.000548389,0.01932292,-0.108658479,0.000332247,0.106590407,0.023190901,7.289843218
baseline,"(10, 50, 2, 0.1, -2, -0.1)",430.5,0.474641676,222.5,0.516882732,0.00058779,0.01943761,-0.108658479,0.00039791,0.106590407,0.015744171,7.298353217
baseline,"(10, 50, 2, 0.2, -2, -0.2)",413.5,0.455898567,212.8,0.514531815,0.000512791,0.019610084,-0.108658479,0.000372074,0.106590407,0.013656059,7.226570162
baseline,"(10, 50, 2, 0.3, -2, -0.3)",391.8,0.431973539,201.7,0.514681552,0.000538141,0.019653898,-0.108658479,0.000347191,0.106590407,0.000301,7.464105586
baseline,"(10, 50, 2, 0.4, -2, -0.4)",367.5,0.405181918,190.4,0.517769811,0.000639444,0.019556376,-0.110410831,0.000506613,0.104973729,-0.04194622,7.922720099
