case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis,t_statistic,p_value
cluster_0,"(5, 50, 2, 0, -2, 0)",448.6,0.494597574,237,0.530892964,0.00126404,0.019978653,-0.08464783,0.0010007,0.107166944,0.318025848,5.235516382,-1.195231987,0.271017809
cluster_1,"(5, 50, 2, 0, -2, 0)",407.8,0.449614112,214.2,0.52884055,0.001429363,0.019220822,-0.0833341,0.001088262,0.110218042,0.541689317,6.279927264,-0.89772661,0.412215544
cluster_2,"(5, 50, 2, 0, -2, 0)",448.6,0.494597574,225.4,0.502145931,0.000565986,0.017002904,-0.085244431,0.000140725,0.107592121,0.460411545,7.876378939,0.755487523,0.475118929
cluster_3,"(5, 50, 2, 0, -2, 0)",454.6,0.501212789,228.6,0.502684371,0.000993377,0.02008949,-0.122033796,0.00019742,0.11457334,0.197004484,8.656547036,-0.570477044,0.584106285
cluster_4,"(5, 50, 2, 0, -2, 0)",459.8,0.506945976,243.6,0.530510173,0.000525627,0.019037286,-0.103155641,0.000767717,0.105846092,0.14431123,6.857728838,0.964374443,0.36506768
cluster_5,"(5, 50, 2, 0, -2, 0)",425.8,0.469459757,221.6,0.520173443,0.001244298,0.021185848,-0.085110948,0.000776152,0.177622643,1.642917437,16.00607486,-0.882773239,0.412852122
cluster_0,"(5, 50, 2, 0.1, -2, -0.1)",427.4,0.471223815,226.4,0.532632652,0.00128067,0.02008413,-0.08464783,0.001004683,0.107166944,0.332809818,5.347952033,-1.082505834,0.310762386
cluster_1,"(5, 50, 2, 0.1, -2, -0.1)",400.6,0.441675854,209.6,0.527306567,0.001377539,0.018830327,-0.0833341,0.001032475,0.094435512,0.294712832,4.311984712,-0.693133709,0.51879317
cluster_2,"(5, 50, 2, 0.1, -2, -0.1)",435.4,0.480044101,218,0.50035806,0.000533195,0.016813103,-0.080852969,0.0000826,0.106351663,0.54867274,7.569228913,1.025827611,0.336647679
cluster_3,"(5, 50, 2, 0.1, -2, -0.1)",439,0.48401323,220.8,0.502933839,0.001008767,0.020119028,-0.122033796,0.000143109,0.11457334,0.219063968,8.721646087,-0.329880421,0.750692708
cluster_4,"(5, 50, 2, 0.1, -2, -0.1)",440.2,0.485336273,234.8,0.535277242,0.000610912,0.019238155,-0.103155641,0.000878744,0.105846092,0.132334145,6.823288663,0.755960085,0.473895492
cluster_5,"(5, 50, 2, 0.1, -2, -0.1)",406.4,0.448070562,211.6,0.520447616,0.001252763,0.02127533,-0.085110948,0.00087018,0.177622643,1.656557427,16.43870538,-0.670662906,0.527564774
cluster_0,"(5, 50, 2, 0.2, -2, -0.2)",410.8,0.45292172,217.2,0.532056973,0.001257033,0.020266449,-0.08464783,0.000987672,0.107166944,0.318186392,5.301544585,-1.265893454,0.244699677
